eo_number,document_number,authority,source_quote,quote_trimmed
13589,2011-29683,"President's Memorandum of May 24, 2011","The President's Memorandum of May 24, 2011 (Federal Fleet Performance)",0
13590,2011-30463,Export‑Import Bank,"the Board of Directors of the Export‑Import Bank shall deny approval of the issuance of any guarantee, insurance, extension of credit, or participation in an extension of credit in connection with the export of any goods or services to the sanctioned person",0
13591,2011-30990,"amends EO 13530, Section 6","Section 6 of Executive Order 13530 of January 29, 2010 (President's Advisory Council on Financial Capability), is amended to read as follows:",0
13592,2011-31624,Secretary of Education,The Secretary of Education shall appoint an Executive Director who shall be responsible for overseeing implementation of the Initiative.,0
13592,2011-31624,Secretary of Education and Secretary of the Interior,The Secretary of Education and the Secretary of the Interior,1
13593,2011-32486,Executive Order 12473,"prescribed by Executive Order 12473, as amended, it is hereby ordered as follows:",0
13594,2011-33087,Presidential,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including the Continuing Appropriations and Surface Transportation Extensions Act, 2011 (Public Law 111-322), which freezes certain pay schedules for civilian Federal employees at 2010 levels through 2012 and provides for the phase‑in of the full applicable locality pay rates in non‑foreign areas pursuant to the Non‑Foreign Area Retirement Equity Assurance Act of 2009 (5 U.S.C. 5304 note), it is hereby ordered as follows:",0
13595,2011-33089,Presidential Policy Directive 1,pursuant to the process outlined in Presidential Policy Directive 1,0
13596,2011-33335,President of the United States,By the authority vested in me as President by the Constitution and the laws of the United States of America it is hereby ordered as follows:,0
13597,2012-1568,Presidential constitutional and statutory authority,by the authority vested in me as President by the Constitution and the laws of the United States of America,0
13598,2012-2557,"title 10, United States Code","the first sentence of section 14111(a) with respect to reports relating to the grades of brigadier general or above, or rear admiral (lower half) or above;",1
13600,2012-3616,establishment of the Council,There is established the President's Global Development Council (Council).,0
13600,2012-3616,placement of the Council within USAID,The Council shall be established for administrative purposes within the United States Agency for International Development (USAID) subject to the foreign policy and budgetary guidance of the Secretary of State.,0
13600,2012-3616,limit on outside appointees (≤ 12),not more than 12 individuals from outside the Federal Government appointed by the President.,0
13600,2012-3616,non‑voting members from senior agencies,"The Secretary of State, the Secretary of the Treasury, the Secretary of Defense, the USAID Administrator, and the Chief Executive Officer of the Millennium Challenge Corporation shall serve as non‑",1
13600,2012-3616,designation of Chair and Vice‑Chair,The President shall designate a member of the Council to serve as Chair and another member to serve as Vice Chair.,0
13600,2012-3616,term length and reappointment eligibility for outside members,"The term of office of members appointed by the President from outside the Federal Government shall be 2 years, and such members shall be eligible for reappointment",0
13600,2012-3616,funding and admin support by USAID,Funding and administrative support for the Council shall be provided by USAID to the extent permitted by law and within existing appropriations.,0
13600,2012-3616,appointment of Executive Director,The USAID Administrator shall appoint an Executive Director who shall be a Federal officer or employee of USAID and serve as a liaison to the Administrator and the Executive Office of the President,0
13600,2012-3616,uncompensated service for outside members,The members of the Council who are appointed from outside the Federal Government shall serve without compensation for their work on the Council.,0
13601,2012-5366,President of the United States,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13604,2012-7636,Federal permitting and review processes,the quality of our Nation's infrastructure depends in critical part on Federal permitting and review processes,0
13606,2012-10034,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.), section 212(f) of the Immigration and Nationality Act of 1952, as amended (8 U.S.C. 1182(f)), and section 301 of title 3, United States Code",0
13607,2012-10715,Constitution and the laws of the United States of America,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13608,2012-10884,"Constitution, IEEPA, National Emergencies Act, Immigration and Nationality Act, Title 3","By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.), section 212(f) of the Immigration and Nationality Act of 1952, as amended (8 U.S.C. 1182(f)), and section 301 of title 3, United States Code",0
13609,2012-10968,Executive Order 13563,"Section 1. Policy. Executive Order 13563 of January 18, 2011 (Improving Regulation and Regulatory Review), states that our regulatory system must protect public health, welfare, safety, and our environment while promoting economic growth, innovation, competitiveness, and job creation.",0
13609,2012-10968,Executive Order 12866,"The Regulatory Working Group (Working Group) established by Executive Order 12866 of September 30, 1993 (Regulatory Planning and Review), which was reaffirmed by Executive Order 13563, shall, as appropriate:",0
13610,2012-11798,Presidential authority under the U.S. Constitution and federal law,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
