eo_number,document_number,due_description,due_date,responsible_party,source_quote,quote_trimmed
13522,E9-29781,Certified implementation plans must be in place.,,,no later than 150 days after the date of this order,0
13522,E9-29781,The Council shall present its recommendations to the President.,,,within 150 days after the date of this order,0
13522,E9-29781,The Council shall submit a report evaluating the pilot projects.,,,No later than 18 months after implementation of the pilot projects,0
13523,E9-30020,half‑day closure of agencies,2009-12-24,Heads of executive branch departments and agencies (to determine exceptions),"on Thursday, December 24, 2009, the day before Christmas Day",0
13526,E9-31418,Fundamental classification guidance review,2 years after effective date,,the initial fundamental classification guidance review shall be completed within 2 years of the effective date of this order.,0
13526,E9-31418,Declassification of exempted records,3 years after effective date,,"Not later than 3 years from the effective date of this order, all records exempted from automatic declassification",1
13527,2010-38,180 days after 30 December 2009 (≈ 28 June 2010),,"Secretaries of Health and Human Services and Homeland Security; Secretaries of Homeland Security, Health and Human Services, Defense, and the Attorney General",within 180 days of the date of this order,0
13527,2010-38,90 days after 30 December 2009 (≈ 30 March 2010),,Secretaries of Homeland Security and Health and Human Services (with the Secretary of Defense),within 90 days of the date of this order,0
13531,2010-3725,Final report vote deadline,2010-12-01,National Commission on Fiscal Responsibility and Reform,"No later than December 1, 2010, the Commission shall vote on the approval of a final report …",0
13531,2010-3725,Commission termination (30 days after final report),relative to final report submission,National Commission on Fiscal Responsibility and Reform,The Commission shall terminate 30 days after submitting its final report.,0
13534,2010-5837,180 days after the order date (March 11 2010),2010-09-07,Export Promotion Cabinet,"Not later than 180 days after the date of this order, the Export Promotion Cabinet, through the TPCC, shall provide the President a comprehensive plan to carry out the goals of the NEI.",0
13535,2010-7154,180 days after 2010‑03‑24,2010-09-20,OMB and HHS,within 180 days of the date of this order,0
13538,2010-9451,PMAB termination 2 years after order date,,,The PMAB shall terminate 2 years after the date of this order unless extended by the President.,0
13539,2010-9796,2 years from the date of this order unless extended by the President,2012-04-21,President's Council of Advisors on Science and Technology (PCAST),The PCAST shall terminate 2 years from the date of this order unless extended by the President,0
13540,2010-10172,Report to the President on the performance of the Task Force,,Task Force,not later than 1 year after its first meeting and annually thereafter,0
13543,2010-12805,final public report due within 6 months of the Commission's first meeting,,,submit a final public report to the President with its findings and options for consideration within 6 months of the date of the Commission's first meeting.,0
13543,2010-12805,Commission termination 60 days after final report submission,,,The Commission shall terminate 60 days after submitting its final report.,0
13544,2010-14613,"Chair must develop and make public a national prevention, health promotion, and public health strategy","March 23, 2011",Chair of the Council,"Not later than March 23, 2011, the Chair, in consultation with the Council, shall develop and make public a national prevention, health promotion, and public health strategy (national strategy), and shall review and revise it periodically.",0
13544,2010-14613,Council must submit its first report to the President and relevant congressional committees,"July 1, 2010","National Prevention, Health Promotion, and Public Health Council","Not later than July 1, 2010, and annually thereafter until January 1, 2015, the Council shall submit to the President and the relevant committees of the Congress, a report that:",0
